run_id,captured_date,name,website,youtube_count,youtube_raw,youtube_precision,youtube_status,youtube_source,x_count,x_raw,x_precision,x_status,x_source,linkedin_count,linkedin_raw,linkedin_precision,linkedin_status,linkedin_source,instagram_count,instagram_raw,instagram_precision,instagram_status,instagram_source,facebook_count,facebook_raw,facebook_precision,facebook_status,facebook_source,last_captured_at
2026-09-16_09-00-36-892,2026-09-16,Atlantic Council,https://www.atlanticcouncil.org,,,,,,225457,225457,exact_public,collected,https://x.com/atlanticcouncil,,,,,,,,,,,,,,,,2026-09-16T09:00:47.544Z
2026-09-16_09-25-17-709,2026-09-16,Atlantic Council,https://www.atlanticcouncil.org,126000,126K,rounded_public,collected,https://www.youtube.com/atlanticcouncil,225459,225459,exact_public,collected,https://x.com/atlanticcouncil,179962,"179,962",exact_public,collected,https://www.linkedin.com/company/atlantic-council,47701,47701,exact_public,collected,https://www.instagram.com/atlanticcouncil,66156,"66,156",exact_public,collected,https://www.facebook.com/AtlanticCouncil/,2026-09-16T09:29:05.517Z
2026-09-16_09-25-17-709,2026-09-16,Belfer Center,https://www.belfercenter.org,37100,37.1K,rounded_public,collected,https://www.youtube.com/user/BelferCenter,,,,,,37931,"37,931",exact_public,collected,https://www.linkedin.com/company/belfercenter,6770,6770,exact_public,collected,https://www.instagram.com/belfercenter,,,,count_not_found,https://www.facebook.com/belfercenter,2026-09-16T09:29:43.360Z
2026-09-16_09-00-36-892,2026-09-16,Bipartisan Policy Center,https://bipartisanpolicy.org,,,,,,34377,34377,exact_public,collected,https://x.com/BPC_Bipartisan,,,,,,,,,,,,,,,,2026-09-16T09:00:49.583Z
2026-09-16_09-25-17-709,2026-09-16,Bipartisan Policy Center,https://bipartisanpolicy.org,5810,5.81K,rounded_public,collected,https://www.youtube.com/channel/UCr1L-KDu5MZMPpmV-gr48fQ,34377,34377,exact_public,collected,https://x.com/BPC_Bipartisan,31130,"31,130",exact_public,collected,https://www.linkedin.com/company/bipartisan-policy-center,5670,5670,exact_public,collected,https://www.instagram.com/bpc_bipartisan,17816,"17,816",exact_public,collected,https://www.facebook.com/BipartisanPolicyCenter,2026-09-16T09:30:23.466Z
2026-09-16_09-00-36-892,2026-09-16,Brookings,https://www.brookings.edu,,,,,,449418,449418,exact_public,collected,https://x.com/BrookingsInst,,,,,,,,,,,,,,,,2026-09-16T09:00:51.854Z
2026-09-16_09-25-17-709,2026-09-16,Brookings,https://www.brookings.edu,172000,172K,rounded_public,collected,https://www.youtube.com/user/BrookingsInstitution,449420,449420,exact_public,collected,https://x.com/BrookingsInst,282348,"282,348",exact_public,collected,https://www.linkedin.com/company/the-brookings-institution,78417,78417,exact_public,collected,https://www.instagram.com/brookingsinst,404823,"404,823",exact_public,collected,https://www.facebook.com/brookings,2026-09-16T09:31:04.983Z
2026-09-16_09-25-17-709,2026-09-16,Bruegel,https://www.bruegel.org,5880,5.88K,rounded_public,collected,https://www.youtube.com/user/BruegelTV,,,,,,49663,"49,663",exact_public,collected,https://www.linkedin.com/company/bruegel,2313,2313,exact_public,collected,https://www.instagram.com/bruegel_thinktank,,,,,,2026-09-16T09:31:30.605Z
2026-09-16_09-00-36-892,2026-09-16,Carnegie Endowment for International Peace,https://carnegieendowment.org,,,,,,263988,263988,exact_public,collected,https://x.com/CarnegieEndow,,,,,,,,,,,,,,,,2026-09-16T09:00:54.013Z
2026-09-16_09-25-17-709,2026-09-16,Carnegie Endowment for International Peace,https://carnegieendowment.org,85900,85.9K,rounded_public,collected,https://www.youtube.com/CarnegieEndowment,263988,263988,exact_public,collected,https://x.com/CarnegieEndow,105725,"105,725",exact_public,collected,https://www.linkedin.com/company/carnegieendowment,32780,32780,exact_public,collected,https://www.instagram.com/carnegieendow,224953,"224,953",exact_public,collected,https://www.facebook.com/carnegieendowment,2026-09-16T09:32:10.234Z
2026-09-16_09-25-17-709,2026-09-16,Cato Institute,https://www.cato.org,107000,107K,rounded_public,collected,https://www.youtube.com/channel/UCyl7zwI6giPG6zC3uC8GGVg,,,,,,68282,"68,282",exact_public,collected,https://www.linkedin.com/company/cato-institute,,,,,,,,,,,2026-09-16T09:32:33.927Z
2026-09-16_09-00-36-892,2026-09-16,Center for a New American Security,https://www.cnas.org,,,,,,64441,64441,exact_public,collected,https://x.com/cnasdc,,,,,,,,,,,,,,,,2026-09-16T09:00:56.002Z
2026-09-16_09-25-17-709,2026-09-16,Center for a New American Security,https://www.cnas.org,12300,12.3K,rounded_public,collected,https://www.youtube.com/user/CNASdc,64441,64441,exact_public,collected,https://x.com/cnasdc,34979,"34,979",exact_public,collected,https://www.linkedin.com/company/center-for-a-new-american-security,2189,2189,exact_public,collected,https://www.instagram.com/cnasdc,14352,"14,352",exact_public,collected,https://www.facebook.com/CNASdc,2026-09-16T09:33:29.529Z
2026-09-16_09-00-36-892,2026-09-16,Centre for Air Power Studies,https://capsindia.org,,,,,,9187,9187,exact_public,collected,https://x.com/caps_india,,,,,,,,,,,,,,,,2026-09-16T09:00:58.838Z
2026-09-16_09-25-17-709,2026-09-16,Centre for Air Power Studies,https://capsindia.org,,,,,,9187,9187,exact_public,collected,https://x.com/caps_india,,,,count_not_found,https://www.linkedin.com/authwall?trk=gf&trkInfo=AQEXHgzpwlOU5AAAAaCpkLRgIUs0vE005RXe3A083ofLL_GXpeB9oZ3lozhEn03mWocmgb2w1gmw3FbzihcRmw_4i9c-khxokrPcKxE2IQTy0aLphu6ddgN5vWzUoo8GTjLyPXI=&original_referer=&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fcentre-for-air-power-studies-caps-4216ab82,,,,,,,,,,,2026-09-16T09:33:44.092Z
2026-09-16_09-00-36-892,2026-09-16,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,,,,,,1735,1735,exact_public,collected,https://x.com/CBGAIndia,,,,,,,,,,,,,,,,2026-09-16T09:01:00.741Z
2026-09-16_09-25-17-709,2026-09-16,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,369,369,exact_public,collected,https://www.youtube.com/channel/UCIve0XhNPeY5on7UPjQeRtg,1735,1735,exact_public,collected,https://x.com/CBGAIndia,3071,"3,071",exact_public,collected,https://www.linkedin.com/company/cbgaindia,,,,,,2035,"2,035",exact_public,collected,https://www.facebook.com/CBGAIndia,2026-09-16T09:34:06.733Z
2026-09-16_09-00-36-892,2026-09-16,Centre for Budget and Policy Studies,https://cbps.in,,,,,,533,533,exact_public,collected,https://x.com/CbpsBlr,,,,,,,,,,,,,,,,2026-09-16T09:01:03.040Z
2026-09-16_09-25-17-709,2026-09-16,Centre for Budget and Policy Studies,https://cbps.in,240,240,exact_public,collected,https://www.youtube.com/user/CBPSMedia,533,533,exact_public,collected,https://x.com/CbpsBlr,7834,"7,834",exact_public,collected,https://www.linkedin.com/company/cbpsblr,392,392,exact_public,collected,https://www.instagram.com/cbpsblr,2724,"2,724",exact_public,collected,https://www.facebook.com/cbpsblr,2026-09-16T09:34:46.891Z
